CzeV;ID (UCAC4);VSX ID;RA [h m s];DE [ø ' ''];Const;Type;V [mag];J [mag];J-K [mag];Amp [mag];Passband;M0 [JD];P [d];Discoverer;Year;Online information
306;UCAC4 627-006233;CSS_J020007.4+351553;02 00 07.493;+35 15 53.67;Tri;E:;14.84;13.457;0.496;0.4;C;2455799.554;0.3515;VP;2011;http://var2.astro.cz/czev.php?id=306
307;UCAC4 627-006208;CSS_J015934.0+351549;01 59 34.023;+35 15 49.36;Tri;EW;15.42;13.768;0.463;0.3;C;2455807.4825;0.3571;VP;2011;http://var2.astro.cz/czev.php?id=307
308;2MASS 05090761+3314580;;05 09 07.610;+33 14 58.09;Aur;RR:;;15.825;0.267;0.3;C;;;VP;2011;http://var2.astro.cz/czev.php?id=308
309;USNO-B1.0 1234-0100958;;05 08 22.993;+33 28 24.05;Aur;EA;;15.029;0.876;0.5;C;;;VP;2011;http://var2.astro.cz/czev.php?id=309
310;UCAC4 594-018971;;05 28 09.303;+28 39 05.91;Aur;EB;16.3;13.959;0.551;0.4;C;;;VP;2011;http://var2.astro.cz/czev.php?id=310
311;UCAC4 595-019939;2MASS J05284081+2856270;05 28 40.808;+28 56 27.13;Aur;EB;;13.654;0.59;0.4;C;;;VP;2011;http://var2.astro.cz/czev.php?id=311
312;UCAC4 595-019894;2MASS J05282781+2856368;05 28 27.813;+28 56 36.81;Aur;EB;15.92;13.377;0.476;0.4;C;;;VP;2011;http://var2.astro.cz/czev.php?id=312
313;UCAC4 673-010346;;02 02 23.796;+44 28 49.86;And;E;;14.886;0.698;0.6;C;;;VP;2011;http://var2.astro.cz/czev.php?id=313
314;UCAC4 700-009651;;01 19 41.297;+49 56 00.01;And;EW;;14.95;0.629;0.7;C;;;VP;2011;http://var2.astro.cz/czev.php?id=314
315;UCAC4 561-132689;;21 20 10.983;+22 01 52.80;Vul;EA;;13.1;0.424;0.6;C;;;VP;2011;http://var2.astro.cz/czev.php?id=315
316;UCAC4 650-003553;CSS_J005618.8+395531;00 56 18.873;+39 55 31.40;And;E;16.18;13.98;0.727;0.3;C;;;VP;2011;http://var2.astro.cz/czev.php?id=316
317;UCAC4 519-115050;;19 54 17.107;+13 39 53.94;Aql;EA;;14.459;0.255;0.7;C;2456221.3258;1.15884;PC;2011;http://var2.astro.cz/czev.php?id=317
318;UCAC4 518-119670;;19 58 11.324;+13 30 12.25;Aql;DSCT:;;14.475;0.494;0.2;C;2456221.3258;0.5;PC;2011;http://var2.astro.cz/czev.php?id=318
319;UCAC4 612-084252;;19 44 40.227;+32 18 11.95;Cyg;EW;13.58;12.517;0.341;0.4;C;2455853.146;0.330929;KH, JJ;2011;http://var2.astro.cz/czev.php?id=319
320;UCAC4 613-087656;;19 45 40.392;+32 24 03.84;Cyg;EW:;14.6;13.438;0.354;0.45;C;2455852.3128;;KH, JJ;2011;http://var2.astro.cz/czev.php?id=320
321;UCAC4 520-117537;;19 56 29.641;+13 58 21.48;Aql;EW;;13.362;0.448;0.38;C;2456222.3413;0.387368;PC;2011;http://var2.astro.cz/czev.php?id=321
322;UCAC4 518-118800;;19 56 28.255;+13 25 50.54;Aql;DSCT;13.97;12.776;0.297;0.25;C;2455836.3839;0.496924;PC;2011;http://var2.astro.cz/czev.php?id=322
323;UCAC4 627-116805;CzeV323;21 35 21.999;+35 15 05.75;Cyg;EW;12.67;11.746;0.283;0.3;Rc;2455832.5219;0.429142;RD, MM;2011;http://var2.astro.cz/czev.php?id=323
324;UCAC4 516-120308;;19 57 41.563;+13 02 42.12;Aql;DSCT;;14.542;0.162;0.1;C;2456543.5843;0.0456;PC;2011;http://var2.astro.cz/czev.php?id=324
325;UCAC4 516-117958;;19 53 31.835;+13 10 18.43;Aql;UV;15.19;11.346;0.858;0.37;C;;;PC;2011;http://var2.astro.cz/czev.php?id=325
326;UCAC4 519-116464;;19 57 16.041;+13 42 13.59;Aql;DSCT:;13.97;12.438;0.414;0.2;C;2455836.42;3.946396;PC;2011;http://var2.astro.cz/czev.php?id=326
327;UCAC4 628-119857;;21 35 11.161;+35 24 28.31;Cyg;EW;13.03;11.673;0.343;0.45;Rc;2455866.288;0.37134;HK;2011;http://var2.astro.cz/czev.php?id=327
328;UCAC4 711-025969;;03 10 29.350;+52 07 35.64;Per;EW;13.34;11.523;0.536;0.35;Rc;2457323.321;0.315204;KO;2011;http://var2.astro.cz/czev.php?id=328
329;UCAC4 712-025912;;03 11 59.007;+52 14 31.53;Per;EB:;13.79;10.595;0.857;0.2;Rc;2455835.2529;0.379111;KO;2011;http://var2.astro.cz/czev.php?id=329
330;UCAC4 518-117786;;19 54 36.094;+13 25 39.75;Aql;DSCT:;;11.645;0.397;0.13;C;2455868.324;3.015338;PC;2011;http://var2.astro.cz/czev.php?id=330
331;UCAC4 515-117553;;19 57 31.003;+12 54 16.39;Aql;EA+DSCT;13.5;12.148;0.471;0.7;C;2455875.1984;0.755629;PC;2011;http://var2.astro.cz/czev.php?id=331
332;UCAC4 520-118494;;19 58 18.189;+13 49 38.66;Aql;EW|DSCT;14.87;13.658;0.332;0.3;C;2455876.69;0.559467;PC;2011;http://var2.astro.cz/czev.php?id=332
333;UCAC4 517-116133;;19 58 23.809;+13 19 47.40;Aql;EW;14.12;13.118;0.3;0.3;C;2455875.297;;PC;2011;http://var2.astro.cz/czev.php?id=333
334;UCAC4 620-005981;CSS_J020538.9+335455;02 05 38.964;+33 54 55.05;Tri;DSCT;14.63;13.387;0.465;0.24;C;2456930.495;0.14425;PC;2011;http://var2.astro.cz/czev.php?id=334
335;USNO-B1.0 1242-0027659;CSS_J020505.8+341718;02 05 05.845;+34 17 18.98;Tri;DSCT;;15.868;0.479;0.6;C;2455916.32;0.120743;PC;2011;http://var2.astro.cz/czev.php?id=335
336;UCAC4 790-011655;HD 26525;04 16 35.984;+67 50 19.23;Cam;EA;10.41;9.774;0.151;0.223;V;2455906.561;1.78486;KH, JJ;2011;http://var2.astro.cz/czev.php?id=336
337;UCAC4 619-005781;CY Tri;02 06 40.156;+33 43 28.68;Tri;EW;12.38;11.268;0.351;0.22;C;2456918.4663;0.33343;PC;2011;http://var2.astro.cz/czev.php?id=337
338;UCAC4 589-101483;CzeV338;19 55 14.628;+27 42 57.02;Vul;BCEP;;13.35;0.725;0.07;Rc;;;ML;2011;http://var2.astro.cz/czev.php?id=338
339;UCAC4 589-101787;CzeV339;19 56 25.189;+27 38 13.52;Vul;EW;;12.196;0.744;0.36;Rc;;;ML;2011;http://var2.astro.cz/czev.php?id=339
340;UCAC4 758-013419;CzeV340;01 22 30.169;+61 34 49.30;Cas;EA;12.72;11.07;0.418;0.38;Rc;;;ML;2011;http://var2.astro.cz/czev.php?id=340
341;UCAC4 608-025661;;05 50 41.740;+31 26 24.09;Aur;DSCT;11.69;10.633;0.291;0.1;C;2455960.3435;0.145596;PC;2012;http://var2.astro.cz/czev.php?id=341
342;UCAC4 606-024138;;05 48 11.955;+31 07 41.06;Aur;DSCT;12.1;11.004;0.247;0.13;C;2455958.6401;0.136936;PC;2012;http://var2.astro.cz/czev.php?id=342
343;UCAC4 605-025126;CzeV343;05 48 24.012;+30 57 03.59;Aur;EA;13.68;12.755;0.199;0.25;C;2455968.3398;0.806868;PC;2012;http://var2.astro.cz/czev.php?id=343
344;UCAC4 609-024525;;05 51 13.222;+31 46 08.33;Aur;RS;13.27;12.213;0.243;0.14;C;2455957.4149;1.10327;PC;2012;http://var2.astro.cz/czev.php?id=344
345;UCAC4 609-023395;;05 47 30.332;+31 40 22.49;Aur;EA;14.47;12.85;0.541;0.85;C;2456684.309;0.535949;PC;2012;http://var2.astro.cz/czev.php?id=345
346;UCAC4 605-025202;;05 48 41.277;+30 51 57.97;Aur;EW;;14.055;0.725;0.6;C;2455959.3728;0.29658;PC;2012;http://var2.astro.cz/czev.php?id=346
347;UCAC4 606-024400;;05 49 11.674;+31 00 23.43;Aur;EA;13.34;12.412;0.183;0.2;C;2456221.6184;1.450427;PC;2012;http://var2.astro.cz/czev.php?id=347
348;UCAC4 607-024043;;05 49 29.170;+31 21 56.50;Aur;EW;15.05;13.618;0.376;0.32;C;2455959.3547;0.435525;PC;2012;http://var2.astro.cz/czev.php?id=348
349;UCAC4 607-024108;;05 49 41.122;+31 21 58.52;Aur;EA;;14.944;0.439;1;C;2455960.1258;1.34159;PC;2012;http://var2.astro.cz/czev.php?id=349
350;UCAC4 609-024257;;05 50 19.811;+31 43 56.23;Aur;EW;14.48;13.332;0.271;0.8;C;2455958.6267;0.524834;PC;2012;http://var2.astro.cz/czev.php?id=350
351;UCAC4 606-024854;;05 50 34.399;+31 06 04.80;Aur;EA;16.15;14.925;0.209;0.44;C;2455959.36;0.840919;PC;2012;http://var2.astro.cz/czev.php?id=351
352;UCAC4 608-025749;;05 50 57.732;+31 29 56.13;Aur;EA;14.11;13.491;0.156;0.41;C;2455992.3029;0.905527;PC;2012;http://var2.astro.cz/czev.php?id=352
353;UCAC4 606-025058;2MASS J05511976+3105581;05 51 19.766;+31 05 57.98;Aur;EW;15.63;13.714;0.445;0.36;C;2455959.353;0.280434;PC;2012;http://var2.astro.cz/czev.php?id=353
354;UCAC4 605-026193;;05 51 57.481;+30 54 53.80;Aur;EA+DSCT;14.53;13.484;0.371;0.67;C;2455958.452;1.179639;PC;2012;http://var2.astro.cz/czev.php?id=354
355;UCAC4 609-024774;;05 51 59.808;+31 38 43.44;Aur;EA;13.49;12.529;0.404;0.5;C;2455960.3993;1.234846;PC;2012;http://var2.astro.cz/czev.php?id=355
356;UCAC4 608-026265;;05 52 40.404;+31 29 40.67;Aur;RS;15.24;13.292;0.716;0.9;C;2455970.3629;0.712205;PC;2012;http://var2.astro.cz/czev.php?id=356
357;UCAC4 604-026108;;05 52 55.855;+30 43 05.88;Aur;EW;16.54;14.951;0.564;0.45;C;2456354.5405;0.350498;PC;2012;http://var2.astro.cz/czev.php?id=357
358;UCAC4 605-025651;;05 50 06.603;+30 49 47.97;Aur;DSCT;13.59;12.224;0.345;0.1;C;2456351.5711;0.073338;PC;2012;http://var2.astro.cz/czev.php?id=358
359;UCAC4 608-025076;;05 48 59.078;+31 32 51.01;Aur;EA;16.04;14.763;0.215;0.5;C;2455970.4083;2.454818;PC;2012;http://var2.astro.cz/czev.php?id=359
360;UCAC4 606-024426;;05 49 16.925;+31 07 57.58;Aur;EW;;14.198;0.633;0.28;C;2455958.4534;0.266053;PC;2012;http://var2.astro.cz/czev.php?id=360
361;UCAC4 609-023715;;05 48 35.927;+31 40 09.02;Aur;EW|DSCT;15.1;13.689;0.31;0.2;C;2455958.0162;0.269935;PC;2012;http://var2.astro.cz/czev.php?id=361
362;UCAC4 604-025555;;05 50 58.526;+30 37 09.11;Aur;DSCT;12.74;11.488;0.32;0.15;C;2456356.5123;0.152711;PC;2012;http://var2.astro.cz/czev.php?id=362
363;UCAC4 604-025799;;05 51 47.152;+30 40 50.20;Aur;EW;;12.179;0.643;0.15;C;;;VP;2012;http://var2.astro.cz/czev.php?id=363
364;UCAC4 603-026208;;05 49 40.709;+30 25 00.76;Aur;EA;13.95;12.696;0.314;0.3;C;2457839.394;2.552216;VP;2012;http://var2.astro.cz/czev.php?id=364
365;USNO-B1.0 1243-0510268;CSS_J223615.6+342150;22 36 15.683;+34 21 50.55;Peg;EW;;15.503;0.508;0.5;V;2451999.63;0.287997;MiB, MM;2011;http://var2.astro.cz/czev.php?id=365
366;UCAC4 780-038997;;21 35 35.614;+65 51 18.51;Cep;EA;15.62;13.033;0.836;0.58;C;;;LB;2012;http://var2.astro.cz/czev.php?id=366
367;UCAC4 780-039099;;21 37 36.761;+65 52 50.11;Cep;EW:;14.02;12.042;0.518;0.5;Rc;;;LB;2012;http://var2.astro.cz/czev.php?id=367
368;UCAC4 780-039014;;21 36 05.445;+65 50 27.91;Cep;EW;14.45;12.75;0.485;0.4;Rc;;;LB;2012;http://var2.astro.cz/czev.php?id=368
369;UCAC4 779-039380;;21 35 35.921;+65 39 41.13;Cep;EB;14.65;12.728;0.581;0.2;Rc;;;LB;2012;http://var2.astro.cz/czev.php?id=369
370;UCAC4 525-053547;CzeV370;11 29 51.411;+14 58 24.69;Leo;EA;10.69;9.751;0.252;0.3;V;2451996.761;5.08009;MM;2012;http://var2.astro.cz/czev.php?id=370
371;UCAC4 607-023549;;05 47 35.573;+31 18 04.83;Aur;EA;15.17;12.822;0.772;0.45;C;2456012.3779;0.90696;PC;2012;http://var2.astro.cz/czev.php?id=371
372;UCAC4 844-005904;;04 52 49.414;+78 37 51.06;Cam;EW;15.67;14.694;0.42;0.4;C;2456167.8851;0.343089;AJ;2012;http://var2.astro.cz/czev.php?id=372
373;UCAC4 844-005966;;04 55 53.888;+78 43 16.37;Cam;EW;;14.434;0.811;0.8;C;;;AJ;2012;http://var2.astro.cz/czev.php?id=373
374;UCAC4 607-023989;;05 49 18.174;+31 21 14.23;Aur;DSCT;12.75;11.714;0.262;0.05;C;2455958.4166;0.053444;PC;2012;http://var2.astro.cz/czev.php?id=374
375;UCAC4 607-024619;;05 51 17.701;+31 23 07.24;Aur;DSCT;13.13;12.177;0.237;0.04;C;2455958.5696;0.06867;PC;2012;http://var2.astro.cz/czev.php?id=375
376;UCAC4 610-025574;;05 51 48.399;+31 51 45.69;Aur;EA|EB;14.38;12.788;0.357;0.75;C;2455968.4429;0.597616;PC;2012;http://var2.astro.cz/czev.php?id=376
377;UCAC4 604-025889;;05 52 04.637;+30 45 15.09;Aur;EA;13.31;12.088;0.34;0.24;C;2456221.4866;5.586968;PC;2012;http://var2.astro.cz/czev.php?id=377
378;UCAC4 604-025847;;05 51 55.156;+30 44 43.54;Aur;DSCT;14.29;12.836;0.359;0.05;C;2455985.614;0.096644;PC;2012;http://var2.astro.cz/czev.php?id=378
379;UCAC4 608-026131;;05 52 13.822;+31 30 35.31;Aur;DSCT;13.07;11.985;0.265;0.04;C;2455958.5427;0.091035;PC;2012;http://var2.astro.cz/czev.php?id=379
380;UCAC4 609-023561;;05 48 04.077;+31 47 29.08;Aur;DSCT;13.02;11.846;0.262;0.07;C;2455894.5284;0.097397;PC;2012;http://var2.astro.cz/czev.php?id=380
381;UCAC4 608-025081;;05 49 00.674;+31 29 01.23;Aur;DSCT:;13.71;12.642;0.242;0.12;C;2455957.4532;0.033222;PC;2012;http://var2.astro.cz/czev.php?id=381
382;UCAC4 608-025371;;05 49 52.856;+31 34 16.72;Aur;EA;;14.533;0.713;0.8;C;2455968.3413;0.603739;PC;2012;http://var2.astro.cz/czev.php?id=382
383;UCAC4 604-025450;;05 50 33.192;+30 45 19.07;Aur;DSCT;14.31;12.85;0.378;0.07;C;2456670.3932;0.087966;PC;2012;http://var2.astro.cz/czev.php?id=383
384;UCAC4 605-025938;;05 51 11.753;+30 53 08.06;Aur;EA;14.44;13.491;0.275;0.25;C;2455959.47;6.1469;PC;2012;http://var2.astro.cz/czev.php?id=384
385;UCAC4 605-026240;;05 52 06.566;+30 48 19.86;Aur;EW;15.65;14.517;0.444;0.22;C;2455968.6002;0.196622;PC;2012;http://var2.astro.cz/czev.php?id=385
386;UCAC4 606-025425;;05 52 22.250;+31 03 23.31;Aur;EA;;14.838;0.497;0.7;C;2455970.32;2.03012;PC;2012;http://var2.astro.cz/czev.php?id=386
387;UCAC4 767-059605;;21 24 33.198;+63 16 29.08;Cep;EA;14.21;12.475;0.423;0.16;C;2455711.4466;1.2353;KH, JJ;2011;http://var2.astro.cz/czev.php?id=387
388;UCAC4 519-064721;CzeV388;17 24 48.682;+13 47 06.93;Oph;EW;14.08;12.777;0.361;0.33;Rc;2456047.5061;0.397663;KH, JJ;2012;http://var2.astro.cz/czev.php?id=388
389;UCAC4 639-054576;CSS_J174905.2+373734;17 49 05.346;+37 37 34.46;Her;EB;;13.656;0.408;0.5;C;;;JiP;2012;http://var2.astro.cz/czev.php?id=389
390;UCAC4 767-059866;;21 28 09.396;+63 21 01.47;Cep;EA;13.85;9.988;0.824;0.27;C;2456094.489;1.38839;KH, JJ;2012;http://var2.astro.cz/czev.php?id=390
391;UCAC4 612-083841;;19 44 00.873;+32 13 32.24;Cyg;EW;;13.148;0.43;0.1;C;;;KH, JJ;2012;http://var2.astro.cz/czev.php?id=391
392;UCAC4 611-086897;;19 45 43.651;+32 11 24.79;Cyg;EW;;13.97;0.35;0.35;C;2456102.1539;0.48946;KH, JJ;2012;http://var2.astro.cz/czev.php?id=392
393;UCAC4 509-077934;;18 27 06.934;+11 47 17.26;Oph;EW;15.48;13.947;0.389;0.14;C;2456132.4509;0.286065;PC;2012;http://var2.astro.cz/czev.php?id=393
394;USNO-B1.0 1024-0400678;;18 26 18.161;+12 27 29.69;Her;DSCT;;14.556;0.671;0.58;C;2455835.6275;0.283025;PC;2012;http://var2.astro.cz/czev.php?id=394
395;UCAC4 510-079827;;18 27 44.133;+11 57 51.76;Oph;EW;14.73;13.386;0.394;0.11;C;2455835.3372;0.374083;PC;2012;http://var2.astro.cz/czev.php?id=395
396;UCAC4 513-078052;;18 28 00.972;+12 24 10.31;Her;EW;;14.984;0.315;0.38;C;2433835.4;0.406887;PC;2012;http://var2.astro.cz/czev.php?id=396
397;UCAC4 511-077326;CzeV397;18 29 46.360;+12 06 37.83;Her;RRAB;14.99;14.211;0.481;0.9;C;2456132.3955;0.58664;PC;2012;http://var2.astro.cz/czev.php?id=397
398;UCAC4 510-080620;;18 29 56.620;+11 49 22.07;Oph;DSCT;14.83;13.212;0.499;0.11;C;2455835.9839;0.23335;PC;2012;http://var2.astro.cz/czev.php?id=398
399;UCAC4 513-078647;;18 30 15.406;+12 33 04.65;Her;EW;15.11;13.747;0.274;0.31;C;2456159.6348;0.490663;PC;2012;http://var2.astro.cz/czev.php?id=399
400;USNO-B1.0 1020-0396786;;18 30 18.944;+12 04 21.00;Oph;EW;;14.743;0.575;0.65;C;2456132.3934;0.40465;PC;2012;http://var2.astro.cz/czev.php?id=400
401;UCAC4 512-075532;;18 30 49.132;+12 14 21.25;Her;EB;13.43;12.013;0.347;0.33;C;2456180.4041;1.01799;PC;2012;http://var2.astro.cz/czev.php?id=401
402;UCAC4 510-080718;;18 30 15.412;+11 50 20.38;Oph;EA;;14.136;0.254;0.21;C;2456121.4579;0.52339;PC;2012;http://var2.astro.cz/czev.php?id=402
403;USNO-B1.0 1020-0391369;;18 26 43.123;+12 05 05.52;Her;DSCT;;15.211;0.367;0.3;C;2456155.4343;0.159345;PC;2012;http://var2.astro.cz/czev.php?id=403
404;UCAC4 513-078584;CzeV404;18 30 01.756;+12 33 46.09;Her;CV;;15.481;0.549;1.4;C;2456131.375;0.098021;PC;2012;http://var2.astro.cz/czev.php?id=404
405;UCAC4 511-076351;;18 26 46.088;+12 05 41.41;Her;DSCT;;14.254;0.401;0.2;C;2455836.1664;0.370466;PC;2012;http://var2.astro.cz/czev.php?id=405
406;UCAC4 513-077734;;18 26 57.258;+12 28 04.69;Her;EA;14.09;12.923;0.352;0.08;C;2456497.389;1.493735;PC;2012;http://var2.astro.cz/czev.php?id=406
407;UCAC4 513-077797;;18 27 12.058;+12 24 18.13;Her;EW;15.57;13.43;0.702;0.18;C;2456522.6145;0.260044;PC;2012;http://var2.astro.cz/czev.php?id=407
408;UCAC4 510-079682;;18 27 22.801;+11 50 19.44;Oph;EA;14.96;13.315;0.583;0.19;C;2456155.4202;0.677745;PC;2012;http://var2.astro.cz/czev.php?id=408
409;UCAC4 514-076720;;18 28 22.538;+12 38 34.31;Her;DSCT;14.61;13.583;0.198;0.09;C;2456157.43;0.123876;PC;2012;http://var2.astro.cz/czev.php?id=409
410;UCAC4 511-076943;;18 28 30.618;+12 02 07.38;Oph;EA;13.94;12.883;0.278;0.12;C;2456132.4547;1.327846;PC;2012;http://var2.astro.cz/czev.php?id=410
411;UCAC4 514-076793;;18 28 40.536;+12 37 37.41;Her;EA;14.05;12.7;0.262;0.55;C;2457243.4576;2.867466;PC;2012;http://var2.astro.cz/czev.php?id=411
412;USNO-B1.0 1027-0420228;;18 29 11.593;+12 46 53.56;Her;EW;;14.966;0.65;0.4;C;2456159.3791;0.42789;PC;2012;http://var2.astro.cz/czev.php?id=412
413;USNO-B1.0 1027-0420570;;18 29 27.147;+12 43 23.30;Her;EW;;14.819;0.346;0.4;C;2456121.6251;0.368564;PC;2012;http://var2.astro.cz/czev.php?id=413
414;UCAC4 509-079134;;18 30 03.205;+11 41 13.62;Oph;EW;;14.016;0.448;1.27;C;2456159.3702;0.381918;PC;2012;http://var2.astro.cz/czev.php?id=414
415;UCAC4 511-077429;ASAS J183032+1210.2;18 30 17.609;+12 10 07.91;Her;RRC;;14.987;0.304;0.45;C;2456180.43;0.31074;PC;2012;http://var2.astro.cz/czev.php?id=415
416;UCAC4 514-077234;;18 30 36.827;+12 43 24.08;Her;EA;15.55;20;0;0.26;C;2456121.433;0.378775;PC;2012;http://var2.astro.cz/czev.php?id=416
417;UCAC4 511-076583;;18 27 30.766;+12 08 25.53;Her;EW;;14.276;1.203;0.2;C;2456181.4282;0.31351;PC;2012;http://var2.astro.cz/czev.php?id=417
418;UCAC4 742-009270;;00 53 17.997;+58 14 43.53;Cas;EB:;;12.688;0.405;0.2;C;;;VP;2012;http://var2.astro.cz/czev.php?id=418
419;UCAC4 741-009421;;00 52 27.713;+58 02 42.31;Cas;EW;;13.215;0.437;0.15;C;;;VP;2012;http://var2.astro.cz/czev.php?id=419
420;UCAC4 741-009815;;00 54 26.787;+58 00 06.02;Cas;EW;;14.133;0.468;0.5;C;;;VP;2012;http://var2.astro.cz/czev.php?id=420
421;UCAC4 742-009808;;00 56 16.892;+58 18 36.02;Cas;EW;;13.85;0.405;0.2;C;;;VP;2012;http://var2.astro.cz/czev.php?id=421
422;UCAC4 744-010233;;01 09 30.112;+58 36 06.16;Cas;EW;;13.719;0.678;0.2;C;;;VP;2012;http://var2.astro.cz/czev.php?id=422
423;UCAC4 743-010905;;01 09 16.212;+58 28 05.27;Cas;RR:;;14.085;0.501;0.3;C;;;VP;2012;http://var2.astro.cz/czev.php?id=423
424;UCAC4 744-010297;;01 10 02.877;+58 36 25.68;Cas;EB:;14.97;12.986;0.457;0.3;C;;;VP;2012;http://var2.astro.cz/czev.php?id=424
425;UCAC4 743-010796;;01 07 54.177;+58 30 25.15;Cas;E;;13.48;0.66;0.7;C;;;VP;2012;http://var2.astro.cz/czev.php?id=425
426;USNO-B1.0 1488-0036021;;01 08 11.989;+58 49 46.02;Cas;EB;;14.293;0.84;0.9;C;;;VP;2012;http://var2.astro.cz/czev.php?id=426
427;UCAC4 741-010577;;00 58 29.399;+58 02 05.45;Cas;EW;;13.984;0.391;0.4;C;;;VP;2012;http://var2.astro.cz/czev.php?id=427
428;USNO-B1.0 1479-0044877;;00 58 53.391;+57 58 34.15;Cas;EW;;15.427;0.554;0.4;C;;;VP;2012;http://var2.astro.cz/czev.php?id=428
429;UCAC4 740-010560;;00 58 06.303;+57 52 44.87;Cas;EW;;14.458;0.69;0.2;C;;;VP;2012;http://var2.astro.cz/czev.php?id=429
430;UCAC4 740-010534;;00 57 57.607;+57 56 35.08;Cas;EA:;;14.851;0.511;0.15;C;;;VP;2012;http://var2.astro.cz/czev.php?id=430
431;UCAC4 514-076813;;18 28 45.738;+12 46 33.00;Her;EW;16.08;14.372;0.524;0.35;C;2456152.4861;0.437186;PC;2012;http://var2.astro.cz/czev.php?id=431
432;UCAC4 513-078161;;18 28 25.114;+12 27 00.12;Her;DSCT;11.97;10.947;0.251;0.05;C;2457243.8755;0.110407;PC;2012;http://var2.astro.cz/czev.php?id=432
433;UCAC4 510-080829;;18 30 34.126;+11 58 50.59;Her;DSCT;11.87;11.593;0.009;0.21;C;2457243.8287;0.283672;PC;2012;http://var2.astro.cz/czev.php?id=433
434;UCAC4 093-000146;TYC 9137-2057-1;00 10 01.294;-71 35 20.55;Tuc;EA;10.81;10.215;0.341;0.4;V;2451868.8805;2.72687;MM;2012;http://var2.astro.cz/czev.php?id=434
435;UCAC4 095-000157;HD 580;00 09 59.661;-71 08 24.53;Tuc;DSCT;10.1;9.17;0.408;0.1;V;2451868.7849;0.088664;MM;2012;http://var2.astro.cz/czev.php?id=435
436;UCAC4 727-018943;;02 10 15.586;+55 15 06.52;Per;EA;;15.15;0.636;0.3;C;;;VP;2012;http://var2.astro.cz/czev.php?id=436
437;UCAC4 681-073815;;19 48 35.903;+46 08 37.92;Cyg;EB;16.09;14.327;0.556;0.5;Rc;2456204.3283;0.27198;LS;2012;http://var2.astro.cz/czev.php?id=437
438;UCAC4 515-117421;;19 57 11.272;+12 53 15.93;Aql;EA;13.73;12.275;0.395;0.12;C;2457632.45;9.044974;PC;2012;http://var2.astro.cz/czev.php?id=438
439;UCAC4 519-114879;;19 53 59.567;+13 40 44.08;Aql;EA;;14.248;0.302;0.6;C;2457612.498;2.200483;PC;2012;http://var2.astro.cz/czev.php?id=439
440;UCAC4 519-115958;;19 56 09.016;+13 41 14.56;Aql;DSCT;14.28;13.111;0.38;0.05;C;2455837.71;1.706569;PC;2012;http://var2.astro.cz/czev.php?id=440
441;UCAC4 518-119182;;19 57 17.367;+13 33 31.13;Aql;DSCT;14.5;13.467;0.297;0.17;C;2457624.425;0.950932;PC;2012;http://var2.astro.cz/czev.php?id=441
442;UCAC4 520-118326;;19 58 00.803;+13 53 43.94;Aql;EW;;14.628;0.341;0.2;C;2455857.444;0.346206;PC;2012;http://var2.astro.cz/czev.php?id=442
443;UCAC4 379-166319;GSC 05828-01177;23 20 27.913;-14 18 26.56;Aqr;EA;10.74;9.839;0.278;0.15;V;2451876.66;3.159706;MM;2012;http://var2.astro.cz/czev.php?id=443
444;UCAC4 592-129027;;21 40 17.778;+28 23 32.32;Peg;EW;16.23;14.774;0.634;;;2456222.4044;0.3424;LS;2012;http://var2.astro.cz/czev.php?id=444
445;UCAC4 644-080991;;19 57 57.529;+38 37 05.83;Cyg;EW;;14.366;0.583;0.5;V;2456842.4567;0.249975;PZ;2012;http://var2.astro.cz/czev.php?id=445
446;UCAC4 622-039549;CzeV446;07 25 02.626;+34 14 46.45;Gem;DSCT;14.68;13.468;0.274;0.18;Rc;;;ML;2012;http://var2.astro.cz/czev.php?id=446
447;UCAC4 515-116037;;19 54 27.477;+12 52 23.32;Aql;DSCT:;14.87;13.948;0.287;0.4;C;2457606.5544;0.377659;PC;2012;http://var2.astro.cz/czev.php?id=447
448;UCAC4 515-117113;;19 56 27.912;+12 52 33.37;Aql;DSCT;15.32;13.772;0.394;0.25;C;2455834.768;0.170596;PC;2012;http://var2.astro.cz/czev.php?id=448
449;UCAC4 516-118114;;19 53 49.539;+13 02 06.76;Aql;DSCT;14.49;13.449;0.231;0.06;C;2455834.4243;0.050158;PC;2012;http://var2.astro.cz/czev.php?id=449
450;UCAC4 521-118498;;19 55 51.454;+14 01 40.06;Aql;DSCT;15.03;12.982;0.59;0.2;C;2457624.35;0.3329;PC;2012;http://var2.astro.cz/czev.php?id=450
451;UCAC4 423-030457;HD 55338;07 12 20.847;-05 25 53.90;Mon;EA;9.29;9.129;0.118;0.15;V;2454106.803;1.211458;MM;2012;http://var2.astro.cz/czev.php?id=451
452;UCAC4 501-030646;HD 48331;06 43 17.990;+10 10 10.31;Mon;ACV;9.39;9.302;-0.048;0.06;V;2452551.314;0.80005;MM;2012;http://var2.astro.cz/czev.php?id=452
453;UCAC4 605-025541;;05 49 46.239;+30 51 49.39;Aur;DSCT;14.52;12.729;0.507;0.08;C;2457387.9093;0.159541;PC;2012;http://var2.astro.cz/czev.php?id=453
454;UCAC4 608-025562;;05 50 26.003;+31 31 53.75;Aur;DSCT;15.25;13.536;0.389;0.15;C;2455970.529;0.101607;PC;2012;http://var2.astro.cz/czev.php?id=454
