CzeV;ID (UCAC4);VSX ID;RA [h m s];DE [ø ' ''];Const;Type;V [mag];J [mag];J-K [mag];Amp [mag];Passband;M0 [JD];P [d];Discoverer;Year;Online information
1131;UCAC4 603-026150;;05 49 29.221;+30 31 15.83;Aur;EA;13.868;12.917;0.233;0.15;C;2457753.394;1.898192;PC;2017;http://var2.astro.cz/czev.php?id=1131
1132;USNO-B1.0 1216-0104780;;05 48 44.307;+31 38 56.30;Aur;EB;;16.152;1.026;0.8;C;2456709.721;0.410984;PC;2017;http://var2.astro.cz/czev.php?id=1132
1133;USNO-B1.0 1210-0099714;;05 45 27.991;+31 05 56.75;Aur;EA;;15.426;0.808;0.6;C;;;PC;2017;http://var2.astro.cz/czev.php?id=1133
1134;USNO-B1.0 1214-0102128;;05 45 24.471;+31 26 57.46;Aur;EB;;15.496;0.667;0.6;C;2456712.8052;0.431816;PC;2017;http://var2.astro.cz/czev.php?id=1134
1135;USNO-B1.0 1205-0103836;;05 47 50.678;+30 31 20.79;Aur;EA;;14.683;0.567;0.5;C;2457102.91;1.632252;PC;2017;http://var2.astro.cz/czev.php?id=1135
1136;USNO-B1.0 1215-0103233;;05 48 48.348;+31 32 25.67;Aur;EA;;15.718;0.555;0.6;C;;;PC;2017;http://var2.astro.cz/czev.php?id=1136
1137;USNO-B1.0 1205-0102542;;05 45 45.794;+30 35 14.81;Aur;EA;;15.207;0.565;0.4;C;;;PC;2017;http://var2.astro.cz/czev.php?id=1137
1138;USNO-B1.0 1215-0104251;;05 50 07.270;+31 35 51.02;Aur;EA;;15.312;0.508;0.4;C;2457388.3445;1.360648;PC;2017;http://var2.astro.cz/czev.php?id=1138
1139;USNO-B1.0 1215-0104721;;05 50 41.531;+31 34 30.85;Aur;EW;;16.074;0.406;0.5;C;2455990.3949;0.377829;PC;2017;http://var2.astro.cz/czev.php?id=1139
1140;USNO-B1.0 1207-0100319;;05 45 05.430;+30 47 45.10;Aur;EA;;15.502;0.626;0.7;C;;;PC;2017;http://var2.astro.cz/czev.php?id=1140
1141;USNO-B1.0 1203-0105772;;05 50 25.630;+30 21 29.77;Aur;EW;;15.865;0.792;0.5;C;2457387.8756;0.335144;PC;2017;http://var2.astro.cz/czev.php?id=1141
1142;UCAC4 605-025623;;05 50 02.318;+30 52 03.35;Aur;DSCT;;14.952;0.441;0.3;C;2455968.9537;0.261438;PC;2017;http://var2.astro.cz/czev.php?id=1142
1143;UCAC4 608-024552;;05 47 04.959;+31 28 55.70;Aur;DSCT;;14.784;0.561;0.1;C;2456693.4339;0.089251;PC;2017;http://var2.astro.cz/czev.php?id=1143
1144;UCAC4 602-024605;;05 48 07.921;+30 13 19.13;Aur;EA;14.592;13.412;0.265;0.3;C;2457752.33;2.083396;PC;2017;http://var2.astro.cz/czev.php?id=1144
1145;UCAC4 608-024695;;05 47 37.240;+31 27 26.31;Aur;EA;16.093;14.223;0.543;0.5;C;;;PC;2017;http://var2.astro.cz/czev.php?id=1145
1146;UCAC4 609-023617;;05 48 14.581;+31 40 54.95;Aur;EA;15.881;14.252;0.52;0.1;C;2457753.62;1.157444;PC;2017;http://var2.astro.cz/czev.php?id=1146
1147;UCAC4 608-025987;;05 51 43.269;+31 31 52.95;Aur;DSCT;;14.354;0.613;0.2;C;2455970.5305;0.130499;PC;2017;http://var2.astro.cz/czev.php?id=1147
1148;UCAC4 605-024717;;05 46 35.953;+30 53 48.30;Aur;DSCT;;13.765;0.801;0.1;C;2456713.1377;0.461042;PC;2017;http://var2.astro.cz/czev.php?id=1148
1149;UCAC4 608-025712;;05 50 51.259;+31 32 43.97;Aur;DSCT;13.371;12.312;0.248;0.1;C;2455986.5979;0.504388;PC;2017;http://var2.astro.cz/czev.php?id=1149
1150;USNO-B1.0 1205-0106679;;05 51 48.140;+30 33 46.11;Aur;EA;;15.47;0.36;1.1;C;;;PC;2017;http://var2.astro.cz/czev.php?id=1150
1151;USNO-B1.0 1216-0105804;;05 50 01.197;+31 37 41.42;Aur;EA;;15.486;0.38;0.7;C;2455968.951;1.037932;PC;2017;http://var2.astro.cz/czev.php?id=1151
1152;UCAC4 605-025888;;05 51 00.719;+30 50 32.20;Aur;EW;;15.339;0.812;0.5;C;2455968.8812;0.335568;PC;2017;http://var2.astro.cz/czev.php?id=1152
1153;UCAC4 606-024156;;05 48 14.766;+31 11 49.73;Aur;EA;;14.288;0.424;0.5;C;;;PC;2017;http://var2.astro.cz/czev.php?id=1153
1154;UCAC4 606-023291;;05 45 00.693;+31 03 55.69;Aur;DSCT;14.698;13.319;0.396;0.1;C;2456713.955;0.533549;PC;2017;http://var2.astro.cz/czev.php?id=1154
1155;UCAC4 606-024904;;05 50 45.106;+31 02 36.71;Aur;EA;14.824;13.935;0.256;0.7;C;;;PC;2017;http://var2.astro.cz/czev.php?id=1155
1156;USNO-B1.0 1207-0102759;;05 48 42.445;+30 45 24.93;Aur;EA;;15.29;0.727;1;C;;;PC;2017;http://var2.astro.cz/czev.php?id=1156
